signup_cohort,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2023-01,100.0,300.0,300.0,400.0,250.0,200.0,500.0,200.0,200.0,400.0,300.0,300.0,300.0,200.0,300.0,250.0,350.0,150.0,250.0,250.0,400.0,250.0,150.0,300.0
2023-02,100.0,233.3,166.7,133.3,200.0,166.7,200.0,100.0,166.7,233.3,100.0,266.7,133.3,266.7,166.7,433.3,166.7,200.0,166.7,233.3,133.3,266.7,233.3,
2023-03,100.0,233.3,200.0,233.3,266.7,300.0,233.3,133.3,300.0,200.0,166.7,300.0,400.0,133.3,66.7,333.3,266.7,200.0,266.7,366.7,266.7,366.7,,
2023-04,100.0,120.0,100.0,100.0,200.0,120.0,140.0,140.0,100.0,160.0,120.0,160.0,60.0,140.0,120.0,80.0,100.0,140.0,180.0,40.0,140.0,,,
2023-05,100.0,240.0,240.0,220.0,200.0,240.0,240.0,260.0,160.0,220.0,160.0,240.0,240.0,120.0,320.0,340.0,280.0,200.0,240.0,220.0,,,,
2023-06,100.0,100.0,400.0,300.0,250.0,300.0,400.0,250.0,150.0,150.0,300.0,200.0,350.0,250.0,300.0,350.0,400.0,200.0,100.0,,,,,
2023-07,100.0,333.3,100.0,100.0,266.7,233.3,233.3,166.7,300.0,233.3,66.7,133.3,233.3,200.0,233.3,333.3,233.3,233.3,,,,,,
2023-08,100.0,120.0,120.0,60.0,120.0,100.0,120.0,180.0,120.0,200.0,80.0,220.0,140.0,140.0,180.0,100.0,140.0,,,,,,,
2023-09,100.0,133.3,183.3,116.7,166.7,183.3,250.0,233.3,166.7,166.7,233.3,150.0,216.7,183.3,166.7,233.3,,,,,,,,
2023-10,100.0,128.6,200.0,142.9,171.4,142.9,100.0,142.9,142.9,114.3,128.6,200.0,157.1,142.9,128.6,,,,,,,,,
2023-11,100.0,162.5,162.5,150.0,187.5,175.0,175.0,162.5,225.0,150.0,150.0,137.5,212.5,162.5,,,,,,,,,,
2023-12,100.0,220.0,260.0,220.0,180.0,220.0,180.0,220.0,200.0,180.0,160.0,240.0,260.0,,,,,,,,,,,
2024-01,100.0,128.6,157.1,171.4,157.1,142.9,157.1,128.6,157.1,128.6,142.9,157.1,,,,,,,,,,,,
2024-02,100.0,150.0,166.7,183.3,150.0,183.3,100.0,116.7,100.0,133.3,150.0,,,,,,,,,,,,,
2024-03,100.0,133.3,175.0,141.7,141.7,150.0,125.0,158.3,150.0,141.7,,,,,,,,,,,,,,
2024-04,100.0,185.7,200.0,214.3,257.1,185.7,242.9,242.9,185.7,,,,,,,,,,,,,,,
2024-05,100.0,190.0,130.0,100.0,140.0,170.0,160.0,170.0,,,,,,,,,,,,,,,,
2024-06,100.0,158.3,150.0,133.3,133.3,150.0,150.0,,,,,,,,,,,,,,,,,
2024-07,100.0,127.8,111.1,122.2,111.1,105.6,,,,,,,,,,,,,,,,,,
2024-08,100.0,138.5,138.5,146.2,153.8,,,,,,,,,,,,,,,,,,,
2024-09,100.0,109.5,100.0,119.0,,,,,,,,,,,,,,,,,,,,
2024-10,100.0,157.9,157.9,,,,,,,,,,,,,,,,,,,,,
2024-11,100.0,128.0,,,,,,,,,,,,,,,,,,,,,,
2024-12,100.0,,,,,,,,,,,,,,,,,,,,,,,
