,tenure_months,total_mrr,seats,error_rate_per_100_events,total_duration_hours,avg_session_duration_mins,total_tickets,avg_csat,avg_first_response_min,avg_resolution_hours,churn_flag
tenure_months,1.0,-0.089,-0.078,-0.009,0.055,0.006,-0.009,-0.07,0.142,0.005,0.097
total_mrr,-0.089,1.0,0.655,0.035,0.369,-0.062,-0.027,0.002,0.022,0.065,-0.039
seats,-0.078,0.655,1.0,0.024,-0.031,-0.016,0.023,-0.077,0.012,-0.029,-0.033
error_rate_per_100_events,-0.009,0.035,0.024,1.0,0.003,0.0,0.026,-0.04,-0.059,-0.031,-0.089
total_duration_hours,0.055,0.369,-0.031,0.003,1.0,0.115,-0.037,0.006,0.017,0.043,0.063
avg_session_duration_mins,0.006,-0.062,-0.016,0.0,0.115,1.0,0.043,-0.031,0.007,0.009,-0.003
total_tickets,-0.009,-0.027,0.023,0.026,-0.037,0.043,1.0,0.046,-0.006,-0.067,-0.02
avg_csat,-0.07,0.002,-0.077,-0.04,0.006,-0.031,0.046,1.0,0.019,-0.002,0.034
avg_first_response_min,0.142,0.022,0.012,-0.059,0.017,0.007,-0.006,0.019,1.0,0.058,-0.068
avg_resolution_hours,0.005,0.065,-0.029,-0.031,0.043,0.009,-0.067,-0.002,0.058,1.0,-0.034
churn_flag,0.097,-0.039,-0.033,-0.089,0.063,-0.003,-0.02,0.034,-0.068,-0.034,1.0
