account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,is_trial,churn_flag,total_mrr,avg_sub_mrr,max_sub_mrr,total_subscriptions_count,upgrade_count,downgrade_count,annual_billing_count,monthly_billing_count,first_sub_date,last_sub_date,net_expansion_score,annual_billing_ratio,total_feature_events,total_duration_hours,avg_session_duration_mins,total_errors,distinct_features_used,beta_feature_events,error_rate_per_100_events,beta_feature_usage_ratio,total_tickets,avg_csat,min_csat,avg_first_response_min,avg_resolution_hours,total_escalations,urgent_tickets,high_tickets,escalation_rate_pct,urgent_ticket_ratio,churn_reason,refund_amount_usd,is_reactivation,churn_date,mrr_per_seat,signup_dt,churn_dt,tenure_days,tenure_months
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,0,0,12603.0,1260.3,5771.0,10,1,0,3,7,2024-10-20,2024-12-22,1,0.3,55,42.31638888888889,46.163333333333334,38,27,4,69.0909090909091,0.07272727272727272,2,3.0,3.0,91.0,23.0,0,1,1.0,0.0,1.0,budget,0.0,False,2024-11-23,1400.3333333333333,2024-10-16,2024-11-23,38,1.2
A-43a9e3,Company_1,FinTech,IN,2023-08-17,other,Basic,18,0,1,10004.0,1250.5,5572.0,8,3,0,6,2,2023-09-20,2024-07-08,3,0.75,35,28.093333333333334,48.16,14,23,2,40.0,0.05714285714285714,3,4.0,3.0,73.33333333333333,38.0,0,2,0.0,0.0,0.6666666666666666,,0.0,,,555.7777777777778,2023-08-17,,502,16.5
A-0a282f,Company_2,DevTools,US,2024-08-27,organic,Basic,1,0,0,18286.0,1219.0666666666666,5771.0,15,1,1,7,8,2024-08-31,2024-12-27,0,0.4666666666666667,83,69.78055555555555,50.4437751004016,48,34,5,57.831325301204814,0.060240963855421686,3,4.666666666666667,4.0,63.666666666666664,43.666666666666664,0,1,0.0,0.0,0.3333333333333333,features,62.66,False,2024-10-06,18286.0,2024-08-27,2024-10-06,40,1.3
A-1f0ac7,Company_3,HealthTech,UK,2023-08-27,other,Basic,24,1,0,9275.0,1325.0,4776.0,7,2,0,3,4,2023-12-04,2024-12-20,2,0.42857142857142855,41,28.48,41.6780487804878,21,26,5,51.21951219512195,0.12195121951219512,2,3.981276595744681,,174.0,29.0,0,0,1.0,0.0,0.5,support,0.0,False,2024-11-08,386.4583333333333,2023-08-27,2024-11-08,439,14.4
A-ce550d,Company_4,HealthTech,US,2024-10-27,event,Enterprise,35,0,1,48761.0,5417.888888888889,21691.0,9,2,0,5,4,2024-10-28,2024-12-31,2,0.5555555555555556,58,59.93861111111111,62.005459770114946,31,32,4,53.44827586206896,0.06896551724137931,7,3.8,3.0,107.85714285714286,42.285714285714285,1,2,2.0,14.285714285714285,0.5714285714285714,budget,0.0,False,2024-12-28,1393.1714285714286,2024-10-27,2024-12-28,62,2.0
A-1b9609,Company_5,EdTech,IN,2023-10-12,ads,Enterprise,4,0,0,16810.0,1528.1818181818182,6965.0,11,0,0,6,5,2023-12-01,2024-10-03,0,0.5454545454545454,47,39.03916666666667,49.83723404255319,21,28,6,44.680851063829785,0.1276595744680851,4,3.0,3.0,74.75,43.0,0,1,2.0,0.0,0.75,unknown,0.0,False,2024-11-16,4202.5,2023-10-12,2024-11-16,401,13.2
A-a0ca4e,Company_6,Cybersecurity,US,2024-03-08,ads,Pro,11,0,0,16633.0,1848.111111111111,5174.0,9,0,0,7,2,2024-03-16,2024-12-01,0,0.7777777777777778,39,32.49,49.98461538461538,14,26,3,35.8974358974359,0.07692307692307693,6,3.8,3.0,89.83333333333333,39.166666666666664,3,0,2.0,50.0,0.3333333333333333,,0.0,,,1512.090909090909,2024-03-08,,298,9.8
A-e5d6ab,Company_7,EdTech,US,2023-04-15,partner,Pro,3,0,0,13048.0,1304.8,4179.0,10,0,0,5,5,2023-05-11,2024-11-10,0,0.5,41,30.97388888888889,45.327642276422765,23,29,5,56.09756097560976,0.12195121951219512,3,3.981276595744681,,57.0,42.666666666666664,0,0,2.0,0.0,0.6666666666666666,features,0.0,False,2023-04-24,4349.333333333333,2023-04-15,2023-04-24,9,0.3
A-7dacce,Company_8,Cybersecurity,CA,2024-09-10,event,Enterprise,12,0,1,23057.0,2305.7,13333.0,10,1,0,8,2,2024-09-10,2024-12-04,1,0.8,48,40.39694444444444,50.49618055555556,29,27,5,60.416666666666664,0.10416666666666667,4,3.6666666666666665,3.0,75.25,32.5,0,1,3.0,0.0,1.0,features,0.0,False,2024-12-08,1921.4166666666667,2024-09-10,2024-12-08,89,2.9
A-10b8da,Company_9,DevTools,US,2023-05-08,partner,Enterprise,14,0,1,8787.0,1464.5,3383.0,6,1,0,3,3,2023-05-12,2024-09-14,1,0.5,27,20.505,45.56666666666667,14,23,2,51.85185185185185,0.07407407407407407,3,3.5,3.0,71.33333333333333,31.333333333333332,0,0,2.0,0.0,0.6666666666666666,,0.0,,,627.6428571428571,2023-05-08,,603,19.8
A-592832,Company_10,Cybersecurity,US,2024-09-25,organic,Basic,18,0,1,32571.0,1714.2631578947369,8358.0,19,1,1,10,9,2024-09-26,2024-12-31,0,0.5263157894736842,101,90.63416666666667,53.8420792079208,55,38,13,54.45544554455446,0.12871287128712872,3,5.0,5.0,80.66666666666667,32.666666666666664,0,0,1.0,0.0,0.3333333333333333,support,22.66,False,2024-10-04,1809.5,2024-09-25,2024-10-04,9,0.3
A-d40bf7,Company_11,FinTech,IN,2024-11-08,organic,Basic,59,0,0,43247.0,4324.7,11741.0,10,1,0,4,6,2024-11-09,2024-12-29,1,0.4,55,41.718333333333334,45.51090909090909,22,29,5,40.0,0.09090909090909091,2,5.0,5.0,125.5,20.5,0,2,0.0,0.0,1.0,,0.0,,,733.0,2024-11-08,,53,1.7
