forecast_month,projected_mrr_added,projected_total_mrr,projected_total_arr
2025-01,1297779.55,12432429.1,149189149.2
2025-02,1363806.09,13572451.47,162869417.64
2025-03,1429832.63,14757979.97,177095759.64
2025-04,1495859.17,15988195.5,191858346.0
2025-05,1561885.71,17262293.7,207147524.4
2025-06,1627912.25,18579484.66,222953815.92
2025-07,1693938.79,19938992.72,239267912.64
2025-08,1759965.33,21340056.19,256080674.28
2025-09,1825991.87,22781927.04,273383124.48
2025-10,1892018.41,24263870.77,291166449.24
2025-11,1958044.95,25785166.04,309421992.48
2025-12,2024071.49,27345104.54,328141254.48
