feature,importance
error_rate_per_100_events,0.07392472023906543
avg_first_response_min,0.06887180809416261
tenure_months,0.0677031551056343
avg_session_duration_mins,0.06485380515318453
total_mrr,0.056303546465711986
beta_feature_usage_ratio,0.05472927969301962
mrr_per_seat,0.04909144660240229
avg_resolution_hours,0.047582966791942065
total_duration_hours,0.04614805659017507
distinct_features_used,0.04271108775509294
annual_billing_ratio,0.040070330577196785
total_feature_events,0.04001051024802351
total_errors,0.03650511349733346
urgent_ticket_ratio,0.03592078251645824
seats,0.03540439715811765
total_tickets,0.023814266772371497
total_subscriptions_count,0.023667725010269747
avg_csat,0.023655581295242457
industry_DevTools,0.021266839931330446
net_expansion_score,0.015557479739247067
urgent_tickets,0.015552662246086873
escalation_rate_pct,0.01251089183544364
upgrade_count,0.012413933417144567
referral_source_event,0.009958917463374057
downgrade_count,0.00939530713353443
industry_EdTech,0.007939418917375164
industry_HealthTech,0.006724269365605781
country_US,0.006070923110238971
referral_source_partner,0.005875670862579252
is_trial,0.005611967141949153
referral_source_organic,0.005580551021138108
plan_tier_Pro,0.004604781630641191
country_UK,0.00426344284751236
country_FR,0.004142041676301995
referral_source_other,0.0039125985726082635
industry_FinTech,0.0033677458304622408
total_escalations,0.0033537771830443692
country_IN,0.003265314023904116
country_DE,0.0031404732255849656
plan_tier_Enterprise,0.0029093398704582527
country_CA,0.0016130733890305268
